siavush	hcommons.social	[131133, 110149979465086052, 109845298550366701, 109832992281914534, 109313583679608371, 109368779687740629, 109245541094634872, 108219153777910954, 109241995804981879, 109249727689978662, 109353932748293185, 109256906323204875, 109337283812265216, 109256632647177191, 1150722, 109309504886369476, 109286669584107905, 357745, 109243488853574031, 109259855425926327, 109247219736728009]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
acevedo	dizl.de	[110050772058725656, 109845298550366701, 109930984016325938, 109832992281914534, 109243668825210826, 109516141129630307, 107192220324249637, 109243388372609150, 109246554904857531, 109368779687740629, 16163, 16554, 109246085727937996, 108197092546215626, 531544, 108219153777910954, 109249727689978662, 15626, 109246120984435842, 109313583679608371, 108402588773468248, 109249252317987436, 109247219736728009, 109251993698453396]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
nahint	tooting.ch	[109257666865648184, 109832992281914534, 559242, 109249727689978662, 530646, 109255420305577253]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
edhayes	maly.io	[109832992281914534, 109249727689978662]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
rob_haug	mstdn.social	[109832992281914534, 109249727689978662]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
bookandswordblog	scholar.social	[]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
JubalBarca	scholar.social	[110297860211560728, 110146776969606252, 110100707557493905, 37661, 109242900938345669, 109837847597574997, 110137755408054645, 110134261697242826, 109354549340343028, 109845298550366701, 109832992281914534, 108243340664949652, 109352946837763272, 1402, 109313583679608371, 108197550408617964, 109516141129630307, 109243668825210826, 33483, 278549, 109371010876960470, 40107, 109352965488059299, 109256288710936152, 456936, 109246554904857531, 109250467311834639, 109257671407320300, 109368779687740629, 109259334169562994, 109247197678254095, 16163, 109245974419057881, 109245541094634872, 109245820092844036, 109251628927842911, 109246201417847184, 109491900947192190, 109442603277018311, 108192819797424389, 14746, 911403, 1136667, 811924, 1149200, 109355526679906887, 108011128797796416, 28059, 1090444, 531544, 108219153777910954, 109241995804981879, 108772405993602191, 109246997771289654, 15626, 109249727689978662, 109382339716209931, 236466, 109312476472693223, 108198178985462481, 109246179318293109, 1111046, 1075312, 108198860864217728, 16397, 108250719063523693, 942428, 107805478326922078, 109298850409100928, 109246260857164262, 109358921461326257, 108197416610174430, 109245742041888207, 109244210721350199, 109314497321462652, 214821, 269457, 109256906323204875, 108196506779924437, 109337283812265216, 109247336756346659, 108192620641708058, 107639544306208866, 109245064282981274, 1150722, 108223, 109309504886369476, 531360, 106672573730068960, 236672, 109258325796016673, 109258473366688594, 109247219736728009, 109259672509010482, 18305, 109251993698453396, 109257412467831304, 7326, 36272, 109258769813704960, 109259156100050538, 109243659573291461, 108222296027205265, 109251556044783486, 109259385958532278, 411101, 109246557070683003, 109258350837587662, 217302, 130933, 109257050230682455, 109246120984435842, 109258727697841135, 109241913044285011, 477187, 109286669584107905, 109257931628327527, 108220028913379754, 465909, 109245332094566989, 109243488853574031, 109259855425926327, 109253123235743333, 10898, 108196887204460905, 378377, 109243565782581804, 109248713780738980, 108266134751872554, 109245944570691111, 109244333185957778, 109247886810527849, 63926, 109243603041816929, 109244191438363451, 107902419231600856, 109115010552659001, 108453415215315288, 107656823408726934, 208247, 108222382050068039, 108194854177637668, 106963785401479192, 108197252944951264, 108226895626911497, 108194007028420751, 108194573193447048, 108198300861146539, 279483, 108199281502070458, 25385, 30628, 108131166705942379, 108089386293371060, 409788, 108045983795800787, 107169412918517476, 107040843132165621, 355392, 106311930162652251, 259792, 890471, 331490, 1220775, 1155625, 1106889, 1180284, 1200538, 511706, 1196532, 1192432, 1176976, 1034884, 1116324, 1105400, 1101637, 1098986, 19097, 1089738, 1092029, 824639, 926675, 1007043, 1041970, 1003517, 678408, 1009486, 1010154, 1041835, 1074231, 284505, 1004757, 488107, 451912, 232927, 198687, 243361, 633501, 10737, 549586]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
Jradin	mas.to	[109832992281914534, 109246085727937996, 109516141129630307, 109246459043892380, 107192220324249637, 276474, 109258462483382711, 109353345220600285, 109243388372609150, 449705, 109258446253851000, 108219153777910954, 109236400208258951, 531544, 109249727689978662, 108449440111950170, 109361723961643387, 109238692240298392, 253014, 109259594743684803, 109237583132426483, 109236050319556174, 109245332094566989, 109326112085605683, 826669, 303722]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
natalie	hcommons.social	[110286925478911404, 109938670433280595, 355392, 109832992281914534, 1278983, 109212672053987101, 488582, 109114279696571359, 107192220324249637, 109255827296489530, 1136667, 109257690843567744, 108219817067243052, 109567683719396741, 421263, 109256235698218043, 109368779687740629, 109245541094634872, 109246554904857531, 531544, 108219153777910954, 109245535247047306, 1138668, 109254651530660388, 109319026460596181, 109360787509020428, 1072884, 109244883468233117, 17545, 108221818435278143, 109249727689978662, 109247219736728009, 487413, 4176, 109220151946183642, 109264938124916498, 109258311992013090, 108196909860085743, 14140, 108336957655822167, 109243140356117545, 109246120984435842, 108193987656838977, 109243734632223154, 109258350837587662, 108217295884722939, 982376, 108198527648948168, 108137385050689627, 109286669584107905, 109259855425926327, 109258769813704960, 109257931628327527, 109257143813191096, 109258727989241569, 108194205679876182, 109252312681213528, 109258727697841135, 109246467149778023, 109245840377785041, 109251556044783486, 108220028913379754, 476510, 483885, 108222296027205265, 109245332094566989, 108520790687531828, 36272, 130933, 108232594654784785, 465909, 109243488853574031, 109259484073296381]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
hkurt	mstdn.social	[109832992281914534, 109249727689978662]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
erikobarr	zirk.us	[109255827296489530]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
gloqur	religion.masto.host	[109832992281914534, 109516141129630307, 109243388372609150, 109318951483987572, 109318968048398717, 109249727689978662, 108130504489324962, 108217295884722939, 108194496431864939, 769203, 108225880254927224]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
floris	freiburg.social	[109252689146669118, 109832992281914534, 108291588973200107, 233513, 109258469578944231, 109248168750495171, 108192620641708058, 109245501221011054, 109311327831842654, 109357739207849107, 109249727689978662, 109360075336884484, 109246085727937996, 109256823390203246, 964579, 109246822754893722, 109246424715059819, 109239845085829500, 108220586226957254, 79812, 190944, 108220705408120870, 107266647162401648, 423451, 304122]	Islamic Studies Middle Eastern Studies Islamicate Studies Oriental Studies
