liampomfret	mastodon.social	[]	Marketing and Consumer Research
DrLiz	aus.social	[433020, 109897951549644550, 452967, 110140149337938315, 110225961924034563, 108192187216884527, 108198025077401110, 109985775427959464, 109520072256368539, 110091234145442962, 252488, 109321973532318075, 109245927055418203, 109481703677631926, 110010961466059033, 109881976595472170, 110070745350948262, 109256248680647804, 107884248828366532, 107192220324249637, 135976, 109862377225538511, 109872307124464426, 423210, 109506033376161197, 41825, 109757885700557725, 415364, 478476, 109258636566275551, 108496236351580013, 109514994751506509, 109247960503187320, 109345377399347187, 812713, 109244950511708272, 973304, 109520773707046934, 452582, 109514481698547701, 109246477930693676, 156604, 356249, 109374675086387918, 108195926010976797, 109288494901057238, 109243328718022482, 233513, 109257209981799601, 109248945403729531, 430016, 109245425942599915, 358035, 109246202582264591, 109248137067076645, 109358162969159535, 109313583679608371, 966061, 455129, 1150722, 455467, 109260036046682370, 453098]	Marketing and Consumer Research
srossmktg	mas.to	[110181074288443829, 110107992188204948, 109208800820694912, 109705456444656504, 973949, 109520773707046934, 260057, 109258945105302382, 405401, 109254938987288726, 109259960879305242, 109246202582264591, 109259174496810108, 109362183813327987, 109313583679608371, 1150722, 109258713442012497, 453098, 108193397826186777]	Marketing and Consumer Research
morewedge	sciences.social	[109252244991531590, 109520773707046934, 109259822049723530, 109257281793521841, 109518488735138875, 109245442294209853, 109247331757904472, 109245531519879403, 109258625847441460, 276944, 109377941468196529, 324352, 108142386904295892, 109252235650656795, 109358019374961554, 108193397826186777, 426009, 109253701563497329, 109313583679608371, 1150722, 109243743889590647, 109246203830224088]	Marketing and Consumer Research
wags	aus.social	[]	Marketing and Consumer Research
Aislingkeenan	mastodon.ie	[]	Marketing and Consumer Research
consumapalooza	sciences.social	[110207575455277710, 110149979465086052, 109244649251416505, 109364856388014897, 107192220324249637, 109520773707046934, 109246105140985229, 109368779687740629, 108193397826186777, 108277881690305459, 108236707517081998, 109361494008574088, 2500, 108282607750436432, 109240181848353779, 34236, 109301757516504608, 109356466479069314, 108449440111950170, 531544, 108234400165905182, 109243118156218972, 109353323195380249, 109246069907797156, 109252232206592120, 109259672990739273, 108219153777910954, 109258371047412728, 453098, 109264973067202967, 109257617827274560, 109243362188164489, 108194773355098778, 109247142687663334, 19614, 109259978295035372, 109258789871450480, 1297504, 108520790687531828, 109254540612303481, 109245805948286226, 109257624697860825]	Marketing and Consumer Research
AnniePettit	mas.to	[110010961466059033, 110188569422671073, 110178533793174335, 282411, 110020917951601453, 109982908539283035, 189490, 109362546553162045, 109521092989314286, 487130, 109507131739410804, 108194773355098778, 109359737665741983, 106253002168453310, 298575, 109353865376849541, 559242, 317733, 190884, 109524273939644957, 109518911446134873, 109377000201217764, 292203, 109492800746378242, 109508786115599779, 109520773707046934, 39744, 108195234034001080, 109215564672345722, 109259131421844727, 109254986077840920, 109243364418068606, 109259337946539891, 109243595083419533, 109173562423700449, 109525083950037840, 109362066375134739, 286159, 94970, 109512631184547880, 108217439974865383, 109258225646662568, 109259821905398738, 109507610191425722, 109507492279379069, 109247913618813992, 109501029614599008, 109214617784111522, 109353502730604772, 109501188249816806, 109498515217753548, 109247595520532416, 109490190296248626, 7326, 109251583590414987, 109249212860810246, 44998, 566124, 109248806157325181, 109354227324914296, 565034, 109246089306940110, 109370056838805593, 109241039666237123, 109302987731091517, 38023, 982771, 108198525584455140, 1032527, 109258423972158505, 109248110210216416, 107215301464188384, 109208008086317816, 108176559827658279, 109249727689978662, 859268, 109297974658719522, 108219153777910954, 108492076099741509, 109253443811831462, 109258571714213615, 109242005184684133, 109252946857276543, 109247820766440512, 109258253957880303, 109259401953919732, 108449440111950170, 109250597888383818, 109239974424064157, 109246802119228592, 109252294337269013, 109259578307578057, 109253632453306746, 531544, 109250654645486476, 109247179587242124, 1013548, 108198216134122928, 109259772431535046, 109244763905926880, 109245896155043487, 109246632288844654, 109258733090629381, 108197092546215626, 108369498063051845, 109294044587722399, 109248320320276845, 108194364596271035, 109246683928303911, 109362103024729368, 320239, 109249658402510624, 287051, 265383, 411039, 108080165842505802, 365288, 108194864331082069, 109244890175329568, 109315870932900412, 245829, 109360214715240590, 108277881690305459, 109247085100827063, 109355972664560938, 558183, 109310238010975029, 109257209981799601, 109348898724631723, 109344929926223185, 315957, 156899, 109255250825869101, 108235009051976422, 368878, 1135074, 19361, 108472813915402799, 109256437390494166, 149267, 109246365417627405, 109276143738682781, 109258371047412728, 109251447061657442, 109249405920299892, 109257696300499297, 108255594631751414, 109254135842256086, 109259687410249987, 109322080955260878, 109246439898736261, 109313583679608371, 109240447553945988, 41825, 108345781050254327, 109245218770014116, 109246186541823526, 848514, 109259195121197706, 109298036583530755, 109247035316737509, 235579, 108193026303173894, 109259216996268612, 109258973820740739, 109259343439934411, 37964, 109258917924337567, 109302363757516489, 109252042062830578, 108130498594497040, 109226603930987265, 109254540612303481, 7343, 109246075772379509, 109257367037759392, 109234840206704865, 109244779474103637, 109245974419057881, 106584929847528165, 39061, 7560, 109248266731467212, 256758, 109258203779753232, 109249792432425785, 463511, 109250172191299098, 109252718171391012, 15668, 109245650194154145, 109214640101165406, 109243603598068113, 109254806128910653, 109246172243689812, 109254090901110521, 1041712, 109268237284888304, 109237148859650542, 109246202582264591]	Marketing and Consumer Research
kennethcwilbur	fediscience.org	[453098, 109243922457859428, 109245531519879403]	Marketing and Consumer Research
Cdowell	mstdn.social	[109847891234423652, 109845298550366701, 453098]	Marketing and Consumer Research
